,ref_transcript,hyp_transcript,diff_name,diff_type,frequency,percentage
30,coraal,amber,final_s_del_20a_21b,morpho_syntax,152,0.012629829663481511
31,coraal,amber,stem_for_past_20e,morpho_syntax,67,0.005567095970087245
32,coraal,amber,is_lexical,morpho_syntax,514,0.04270876609887827
33,coraal,amber,del_restart,verbatim,432,0.03589530535936851
34,coraal,amber,cop_aux_del_19a,morpho_syntax,97,0.008059825508932281
35,coraal,amber,invariant_be_19b,morpho_syntax,38,0.003157457415870378
36,coraal,amber,switch_sin_plu_20b,morpho_syntax,36,0.0029912754466140425
37,coraal,amber,aint_sub_22a,morpho_syntax,4,0.00033236393851267135
38,coraal,amber,if_whether_del_23b,morpho_syntax,19,0.001578728707935189
39,coraal,amber,they_their_sub_8ish,morpho_syntax,16,0.0013294557540506854
40,coraal,amber,future_ll_del_19c,morpho_syntax,25,0.002077274615704196
41,coraal,amber,finna_19i,morpho_syntax,12,0.0009970918155380142
42,coraal,amber,it_there_sub_24a,morpho_syntax,17,0.0014125467386788533
43,coraal,amber,gone_go_19n,morpho_syntax,7,0.0005816368923971749
44,coraal,amber,done_del_19g,morpho_syntax,2,0.00016618196925633567
45,coraal,amber,all_combined,morpho_syntax,1507,0.12521811383464895
46,coraal,amber,all_combined,reductions,73,0.006065641877856252
47,coraal,amber,all_combined,verbatim,2286,0.1899459908599917
48,coraal,openai-async,cop_aux_del_19a,morpho_syntax,83,0.008304982989793876
49,coraal,openai-async,invariant_be_19b,morpho_syntax,21,0.0021012607564538724
50,coraal,openai-async,future_ll_del_19c,morpho_syntax,19,0.0019011406844106464
51,coraal,openai-async,done_del_19g,morpho_syntax,3,0.0003001801080648389
52,coraal,openai-async,final_s_del_20a_21b,morpho_syntax,90,0.009005403241945167
53,coraal,openai-async,switch_sin_plu_20b,morpho_syntax,25,0.002501500900540324
54,coraal,openai-async,stem_for_past_20e,morpho_syntax,63,0.006303782269361617
55,coraal,openai-async,add_pronoun_21d,morpho_syntax,88,0.008805283169901942
56,coraal,openai-async,aint_sub_22a,morpho_syntax,6,0.0006003602161296778
57,coraal,openai-async,it_there_sub_24a,morpho_syntax,16,0.0016009605763458075
58,coraal,openai-async,they_their_sub_8ish,morpho_syntax,23,0.002301380828497098
59,coraal,openai-async,gone_go_19n,morpho_syntax,6,0.0006003602161296778
60,coraal,openai-async,is_red_form,morpho_syntax,399,0.039923954372623575
61,coraal,openai-async,is_lexical,morpho_syntax,466,0.04662797678607164
62,coraal,openai-async,is_contraction,reductions,45,0.004502701620972584
63,coraal,openai-async,filler_sub,verbatim,73,0.007304382629577747
64,coraal,openai-async,filler_del,verbatim,1617,0.16179707824694817
